브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
MSI,"MSI CYBORG 15 A12VF [이벤트 한정특가 / 사은품증정]
            CYBORG 15 A12VF · WIN11 Pro · 32GB · 1TB · 코어i7 · 블랙",,"1,499,000원",(주)클로버웍스,없음,,"RAM/메모리 최대 용량: 64GB, RAM/메모리 슬롯 개수: 2슬롯, 저장장치 슬롯 개수: 1슬롯, 그래픽 브랜드: NVIDIA, 메모리종류: DDR5, 쿠팡상품번호: 7212464697 - 18256129472",https://www.coupang.com/vp/products/7212464697?itemId=18256129472&vendorItemId=89259522839
델,"델 2023 인스피론 15 3535 라이젠5 라이젠 7000 시리즈
            카본 블랙 · 512GB · 16GB · WIN11 Home · DN3535-W002KR","799,000원","739,000원",로켓배송,2,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 중량: 1.68kg, 출시년월: 2023.09, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7883085520 - 21563562430",https://www.coupang.com/vp/products/7883085520?itemId=21563562430&vendorItemId=88615849109
에이수스,에이수스 2024 TUF 게이밍 A15 라이젠7 라이젠 7000 시리즈 지포스 RTX 4050,"1,299,000원","1,259,160원",로켓배송,4,"색상: Mecha Gray, 저장용량 × RAM용량 × 운영체제: 512GB × 16GB × Free DOS","CPU 모델명: 라이젠7, CPU 모델 번호: 라이젠7-7735HS, GPU 모델명: 지포스 RTX 4050, 중량: 2.2kg, 출시년월: 2024.02, 쿠팡상품번호: 7856545356 - 21427965237",https://www.coupang.com/vp/products/7856545356?itemId=21427965237&vendorItemId=88484049418
LG전자,LG 노트북 코어i5 4세대 8세대 15.6인치 SSD240G RAM8G 사무용 가정용 윈도우10,,"271,950원",에이스컴,없음,"모델명/품번: LG15N540, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 × 8GB × 256GB × 코어i5 × 실버","이어폰,헤드폰 단자: 있음, 전면 카메라 장착 여부: 장착, 운영체제 비트 종류: 64bit, SSD용량: 256GB, CPU 세대: 인텔 4세대, 쿠팡상품번호: 7108837845 - 17765316762",https://www.coupang.com/vp/products/7108837845?itemId=17765316762&vendorItemId=86359968666
레노버,레노버 2022 ThinkPad E15 G4 15.6 라이젠5 라이젠 5000 시리즈,"556,010원","406,010원",로켓배송,2,"색상: Black, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × Free DOS × 21ED004EKD","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-5625U, GPU 모델명: AMD Radeon Graphics, 화면크기: 39.6cm, 중량: 1.78kg, 쿠팡상품번호: 7685586594 - 19725742753",https://www.coupang.com/vp/products/7685586594?itemId=19725742753&vendorItemId=86822254796
레노버,"레노버 2022 ideapad Slim 3 17ABA7 17.3 코어i5 인텔 12세대
            Arctic Grey · 256GB · 16GB · Free DOS · 82RL0029KR",,"641,600원",로켓배송,2,,"CPU 모델명: 코어i5, 화면크기(인치): 약 17.3인치에 해당함, 그래픽카드 형태: 미장착, 저장장치: NVMe, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7435148943 - 21714718517",https://www.coupang.com/vp/products/7435148943?itemId=21714718517&vendorItemId=88753629637
레노버,"레노버 2023 V14 G4 라이젠5 라이젠 7000 시리즈
            ARCTIC GREY · 256GB · 8GB · Free DOS · 82YT000DKR","549,000원","459,000원",로켓배송,4,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7520U, 중량: 1.43kg, 출시년월: 2023.02, 화면크기(인치): 약 14인치에 해당함, 쿠팡상품번호: 7485272210 - 21331976796",https://www.coupang.com/vp/products/7485272210?itemId=21331976796&vendorItemId=86670284649
MSI,"MSI 2023 GF63 씬 12VE 15.6 코어i5 인텔 12세대 지포스 RTX 4050
            블랙 · 512GB · 8GB · Free DOS · MS-16R1","1,149,000원","1,074,870원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-12450H, GPU 모델명: 지포스 RTX 4050, 화면크기: 39.6cm, 중량: 1.77kg, 쿠팡상품번호: 7685481087 - 18281552510",https://www.coupang.com/vp/products/7685481087?itemId=18281552510&vendorItemId=85427484838
,DELL XPS 13 9343 5세대i5 램8G SSD256G 윈10 QHD/터치스크린/새배터리,,"369,000원",(주)엘도라도,없음,"운영체제: WIN10, RAM용량 × 저장용량 × CPU 모델명 × 색상: 8GB × 256GB × 코어i5 × 실버","SSD용량: 256, CPU 세대: 인텔 6세대 이하, 색상계열: 실버, 코어 종류: 듀얼코어, 중량: 1.26kg, 쿠팡상품번호: 6624550360 - 15075801907",https://www.coupang.com/vp/products/6624550360?itemId=15075801907&vendorItemId=84584859573
LG전자,"LG전자 2023 울트라PC 15 15U40R-GRTWK - WIN11 설치 모델로 출고됩니다.
            15U40R-GRTWK · WIN11 Home · 16GB · 256GB · 라이젠3 · 화이트",,"639,000원",주식회사 이든이엠에스,없음,,"저장장치: SSD, 코어 종류: 쿼드코어, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7742204752 - 20832770484",https://www.coupang.com/vp/products/7742204752?itemId=20832770484&vendorItemId=87900844397
레노버,"레노버 2023 V15 G4 코어i5 인텔 13세대
            Iron Gray · 256GB · 16GB · Win11 HOME · 83A10001KR","804,980원","674,980원",로켓배송,3,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-1335U, 중량: 1.67kg, 출시년월: 2023.06, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7598185753 - 20470038749",https://www.coupang.com/vp/products/7598185753?itemId=20470038749&vendorItemId=87537608725
MSI,"MSI 2023 GF63 씬 15.6 코어i5 인텔 12세대 지포스 RTX 2050
            블랙 · 512GB · 8GB · Free DOS · Thin GF63 12UCX-i5 (636XKR)","819,000원","805,600원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-12450H, GPU 모델명: 지포스 RTX 2050, 화면크기: 39.6cm, 중량: 1.77kg, 쿠팡상품번호: 7743905622 - 20841547615",https://www.coupang.com/vp/products/7743905622?itemId=20841547615&vendorItemId=87909273660
HP,HP 2023 노트북 15 코어i3 인텔 13세대,,"599,000원",로켓배송,3,"색상: Jet Black, 저장용량 × RAM용량 × 운영체제: 256GB × 8GB × WIN11 Home","CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-1315U, 화면크기: 39.6cm, 중량: 1.6kg, 출시년월: 2023.04, 쿠팡상품번호: 7305713234 - 18645189440",https://www.coupang.com/vp/products/7305713234?itemId=18645189440&vendorItemId=85780199523
레노버,레노버 2023 씽크북 15 G5 IRL 15 코어i5 인텔 13세대,"826,250원","596,250원",로켓배송,2,"색상: 미네랄 그레이, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × Free DOS × 21JD003YKR","CPU 모델명: 코어i5, CPU 모델 번호: i5-1335U, 화면크기: 39.624cm, 중량: 1.8kg, 출시년월: 2023.04, 쿠팡상품번호: 7278609987 - 19725822919",https://www.coupang.com/vp/products/7278609987?itemId=19725822919&vendorItemId=86822253814
레노버,레노버 2023 씽크북 14 G5 ABP 라이젠5 라이젠 7000 시리즈,"639,000원","602,550원",로켓배송,3,"색상: 미네랄 그레이, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 21JE0004KR","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 화면크기: 35.56cm, 중량: 1.5kg, 출시년월: 2023.04, 쿠팡상품번호: 7525372720 - 18606318010",https://www.coupang.com/vp/products/7525372720?itemId=18606318010&vendorItemId=85742216223
에이수스,에이수스 2024 TUF 게이밍 F17 코어i7 인텔 13세대 지포스 RTX 4050,"1,449,000원","1,349,000원",로켓배송,3,"색상: 메카 그레이, 저장용량 × RAM용량 × 운영체제: 512GB × 32GB × Free DOS","CPU 모델명: 코어i7, CPU 모델 번호: 코어i7-13620H, GPU 모델명: 지포스 RTX 4050, 화면크기: 43.9cm, 중량: 2.6kg, 쿠팡상품번호: 7881914474 - 21880176070",https://www.coupang.com/vp/products/7881914474?itemId=21880176070&vendorItemId=88924365014
HP,"HP 2024 빅터스 15 코어i5 인텔 13세대 지포스 RTX 3050
            Mica Silver · 512GB · 16GB · Win11 Home · 15-fa1245TX","1,040,990원","990,990원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-13420H, GPU 모델명: 지포스 RTX 3050, 화면크기: 39.6cm, 중량: 2.29kg, 쿠팡상품번호: 7813921805 - 21714872348",https://www.coupang.com/vp/products/7813921805?itemId=21714872348&vendorItemId=88753629593
,삼성전자 갤럭시북 15.6 재택근무 학습용 노트북 한컴오피스팩 및 국내 정품 윈도우 패키지 동봉,"829,000원","787,550원",(주)한사랑씨앤씨,없음,모델명/품번 × 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: NT550-I5 × WIN11 Home × 8GB × 250GB × 코어i5 × 그라파이트,"저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 화면크기(인치): 15.6인치, 가전 모델: Galaxy Book, 쿠팡상품번호: 6703045034 - 15532761776",https://www.coupang.com/vp/products/6703045034?itemId=15532761776&vendorItemId=89292171744
Apple,"Apple 2020 맥북 에어 13
            실버 · M1 · 256GB · 8GB · A2337","1,064,520원","1,021,930원",로켓배송,없음,,"운영체제: MAC OS, CPU 모델 번호: APL1102, GPU 모델명: M1 7 core, 화면크기: 33.74cm, CPU 기본속도: 0.6GHz, 쿠팡상품번호: 4322481134 - 5033261361",https://www.coupang.com/vp/products/4322481134?itemId=5033261361&vendorItemId=72343055403
HP,"HP 2023 파빌리온 플러스 14 코어i5 인텔 13세대
            내추럴 실버 · 512GB · 16GB · WIN11 Home · 14-ew0018TU","1,099,000원","1,098,000원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1335U, 화면크기: 35.6cm, 중량: 1.45kg, 출시년월: 2023.10, 쿠팡상품번호: 7634635714 - 20270585747",https://www.coupang.com/vp/products/7634635714?itemId=20270585747&vendorItemId=87357707040
