Name,Price,Link,Img_url
" 레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대, ARCTIC GREY, 512GB, 16GB, Free DOS, 83ER0060KR ","738,000",https://www.coupang.com/vp/products/7743816755?itemId=20841101281&vendorItemId=87908831614,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2023/11/28/10/0/574b91e9-9a00-44c2-9035-46385e1cfbf0.jpg
" 베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS ","398,000",https://www.coupang.com/vp/products/6662026640?itemId=15294714959&vendorItemId=82515116791,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/306941332537116-b675bf77-956f-47d3-9538-7545943e0eb8.jpg
" LG 울트라PC 15U560 6세대 코어i5 8G SSD128GB Win10 화이트, WIN10 Home, 8GB, 128GB ","294,000",https://www.coupang.com/vp/products/6357416487?itemId=13404619609&vendorItemId=86251209576,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/a58a/e0ca68f2e247a0830b9d782c7e04498f8a0908453b418aef1ccf252611fb.jpg
" HP 2023 빅터스 15 코어i5 인텔 12세대 지포스 RTX 4050, Mica Silver, 512GB, 16GB, Free DOS, 15-fa1108TX ","1,138,000",https://www.coupang.com/vp/products/7420594832?itemId=19248300034&vendorItemId=86364111900,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/4032731915319711-84471558-54f4-414a-acc0-52dbd043257e.jpg
" 레노버 2023 V15 G4 AMN 15.6 라이젠5 라이젠 7000 시리즈, ARCTIC GREY, 256GB, 8GB, Free DOS, 82YU000BKR ","509,000",https://www.coupang.com/vp/products/7485387396?itemId=19564829329&vendorItemId=86672724494,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2023/07/24/15/0/dec4b885-2e9e-4384-b4ba-63aa5f342ee9.png
" 삼성노트북 NT371B5J 사무용노트북, WIN10 Pro, 16GB, 240GB, 코어i5, 블랙 ","299,000",https://www.coupang.com/vp/products/7581844823?itemId=19759845767&vendorItemId=86863192396,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/52cc/cbe2a8639ea5723bc202efecb4a7ec72e7e2fc55d757d2241c26b07e8cb2.jpg
" HP 2023 노트북 255 G10 15.6 라이젠5 라이젠 7000 시리즈, 실버, 256GB, 8GB, Free DOS, 8L8J5PA ","588,000",https://www.coupang.com/vp/products/7589589691?itemId=20052820397&vendorItemId=87149010268,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2023/09/11/12/4/973ef776-ae00-4821-a937-ed2290d10385.jpg
" 레노버 2023 V14 G4 IRU 코어i3 인텔 13세대, Iron Gray, 256GB, 16GB, Free DOS, 83A00006KR ","465,570",https://www.coupang.com/vp/products/7539256992?itemId=20470198304&vendorItemId=87537340769,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2023/09/26/15/3/c28406c4-7f28-4ff7-aac8-fbb0a412c9f1.jpg
" LG 2023 울트라PC 엣지 16 라이젠5 라이젠 7000 시리즈, 차콜 그레이, 256GB, 16GB, WIN11 Home, 16U70R-GA56K ","1,118,000",https://www.coupang.com/vp/products/7355142712?itemId=18852975566&vendorItemId=85982221277,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/3508836489926432-26c2fd76-df0e-439f-b0e9-a406c98c32f4.jpg
" 삼성전자 삼성노트북 NT200B5C/i5-3210/4G/SSD128G/DVD멀티/15.6/1600*900/윈도우10/2.3kg/무상보증1년, NT200B5C, WIN10 Pro, 4GB, 128GB, 코어i5, 블랙 ","179,000",https://www.coupang.com/vp/products/6431304215?itemId=13881662519&vendorItemId=81135207478,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/04f6/ac828ade4532a6706b1d6e3872c9ce6400b88f70b3e7950d65707015ed26.jpg
" 중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북, 14/15인치, WIN10 Home, 4GB, 128GB, 코어i5, 블랙 ","99,000",https://www.coupang.com/vp/products/7376292269?itemId=19039045811&vendorItemId=86251127041,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/7227/078d93c8b81eabbedbb19ad765116277d1221a8c0aea5155702f0a81836e.jpg
" LG전자 2023 울트라 PC 15 코어i3 인텔 13세대, 화이트, 256GB, 8GB, WIN11 Home, 15U50R-GR30K ","895,000",https://www.coupang.com/vp/products/7983748736?itemId=22166799149&vendorItemId=89213271709,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/rs_quotation_api/9f7sjv4b/9b3ebd5bb9054f379b7bd60b86387d12.jpg
" HP 2024 노트북 15 코어i3 인텔 13세대, 다이아몬드 화이트(커버) + 내추럴 실버(베이스), 512GB, 8GB, WIN11 Home, 15-fd0242TU ","639,000",https://www.coupang.com/vp/products/7812122926?itemId=21193117761&vendorItemId=88254439621,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2024/01/03/15/9/1ed9010e-aa8f-466a-8b7d-f7bff8b86d30.jpg
" 삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 실버/블랙, 삼성NT371B5J, i5 4200, 500GB, 8GB ","286,000",https://www.coupang.com/vp/products/7527467832?itemId=19756553422&vendorItemId=88166484474,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/ed6b/3db2d412484bbfaa7298f072cd8d26aa38afefb89baf7038ccf8322ac12c.jpg
" 삼성전자 갤럭시북4 15.6 코어I5 13세대 한컴오피스팩 및 무선마우스 정품 윈도우11 패키지 동봉, R-A51AG, WIN11 Home, 16GB, 512GB, 그레이 ","1,049,000",https://www.coupang.com/vp/products/7991194687?itemId=22212816611&vendorItemId=89258837393,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/5d12/e2a91b134266478ba4eac810244be8ee1a774daa4915d573903645b60997.jpg
" 에이수스 2023 비보북 15 코어i5 인텔 13세대, 콰이어트 블루, 256GB, 8GB, Free DOS, X1502VA-BQ079 ","649,000",https://www.coupang.com/vp/products/7813671086?itemId=18344360011&vendorItemId=85871081496,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/86a1/4ba38941f12cb1bbd201ffc56d8cae94093ad9cf9b53a197eef120af7f51.jpg
